기준년월,지자체,티맵카테고리중분류명,검색건수,전년동기검색건수,구성비,전년대비검색증감률
201910,세종특별자치시,음식,93299,61807,55.5,51.0
201910,세종특별자치시,숙박,6489,4716,3.9,37.6
201910,세종특별자치시,기타관광,288,262,0.2,9.9
201910,경기도,전체,8279663,5898130,100.0,40.4
201910,경기도,자연관광,368209,294932,4.4,24.8
201910,경기도,역사관광,228955,179529,2.8,27.5
201910,경기도,체험관광,65128,70257,0.8,-7.3
201910,경기도,문화관광,1363298,1011753,16.5,34.7
201910,경기도,레저스포츠,884929,694100,10.7,27.5
201910,경기도,쇼핑,1241183,915658,15.0,35.6
201910,경기도,음식,3407995,2190079,41.2,55.6
201910,경기도,숙박,550690,379063,6.7,45.3
201910,경기도,기타관광,169276,162759,2.0,4.0
201910,강원도,전체,2368568,1716927,100.0,38.0
201910,강원도,자연관광,340529,298525,14.4,14.1
201910,강원도,역사관광,118867,94664,5.0,25.6
201910,강원도,체험관광,16738,14796,0.7,13.1
201910,강원도,문화관광,261244,194739,11.0,34.2
201910,강원도,레저스포츠,197255,154570,8.3,27.6
201910,강원도,쇼핑,129333,66914,5.5,93.3
201910,강원도,음식,650807,441917,27.5,47.3
201910,강원도,숙박,504547,341861,21.3,47.6
201910,강원도,기타관광,149248,108941,6.3,37.0
201910,충청북도,전체,919655,622456,100.0,47.7
201910,충청북도,자연관광,62972,53212,6.8,18.3
201910,충청북도,역사관광,40873,29535,4.4,38.4
201910,충청북도,체험관광,8181,6520,0.9,25.5
201910,충청북도,문화관광,128978,91735,14.0,40.6
201910,충청북도,레저스포츠,142097,99858,15.5,42.3
201910,충청북도,쇼핑,49149,35930,5.3,36.8
201910,충청북도,음식,289703,171970,31.5,68.5
201910,충청북도,숙박,106847,72684,11.6,47.0
201910,충청북도,기타관광,90855,61012,9.9,48.9
201910,충청남도,전체,1571137,1092078,100.0,43.9
201910,충청남도,자연관광,262535,197874,16.7,32.7
201910,충청남도,역사관광,120679,89432,7.7,34.9
201910,충청남도,체험관광,29195,24629,1.9,18.5
201910,충청남도,문화관광,222861,170278,14.2,30.9
201910,충청남도,레저스포츠,97107,75626,6.2,28.4
201910,충청남도,쇼핑,91238,71058,5.8,28.4
201910,충청남도,음식,484437,297252,30.8,63.0
201910,충청남도,숙박,190955,127006,12.2,50.4
201910,충청남도,기타관광,72130,38923,4.6,85.3
201910,전라북도,전체,917648,652310,100.0,40.7
201910,전라북도,자연관광,91947,78939,10.0,16.5
201910,전라북도,역사관광,87283,61956,9.5,40.9
201910,전라북도,체험관광,7035,6229,0.8,12.9
201910,전라북도,문화관광,160517,104863,17.5,53.1
201910,전라북도,레저스포츠,39629,32180,4.3,23.1
201910,전라북도,쇼핑,41013,27512,4.5,49.1
201910,전라북도,음식,335223,210100,36.5,59.6
201910,전라북도,숙박,98809,85213,10.8,16.0
201910,전라북도,기타관광,56192,45318,6.1,24.0
201910,전라남도,전체,1144631,726810,100.0,57.5
201910,전라남도,자연관광,115130,80603,10.1,42.8
201910,전라남도,역사관광,73018,56390,6.4,29.5
201910,전라남도,체험관광,6207,4562,0.5,36.1
201910,전라남도,문화관광,203527,116608,17.8,74.5
201910,전라남도,레저스포츠,59156,39673,5.2,49.1
201910,전라남도,쇼핑,49465,33139,4.3,49.3
201910,전라남도,음식,320068,197743,28.0,61.9
201910,전라남도,숙박,151812,88362,13.3,71.8
201910,전라남도,기타관광,166248,109730,14.5,51.5
201910,경상북도,전체,1428549,986955,100.0,44.7
201910,경상북도,자연관광,128101,105027,9.0,22.0
201910,경상북도,역사관광,239803,192636,16.8,24.5
201910,경상북도,체험관광,18510,13152,1.3,40.7
201910,경상북도,문화관광,193916,133369,13.6,45.4
201910,경상북도,레저스포츠,82071,62994,5.7,30.3
201910,경상북도,쇼핑,68406,46488,4.8,47.1
201910,경상북도,음식,418766,263383,29.3,59.0
201910,경상북도,숙박,203952,127671,14.3,59.7
201910,경상북도,기타관광,75024,42235,5.3,77.6
201910,경상남도,전체,1410068,966710,100.0,45.9
201910,경상남도,자연관광,95491,74157,6.8,28.8
201910,경상남도,역사관광,100208,72241,7.1,38.7
201910,경상남도,체험관광,11890,9161,0.8,29.8
201910,경상남도,문화관광,249111,185909,17.7,34.0
201910,경상남도,레저스포츠,91048,71063,6.5,28.1
201910,경상남도,쇼핑,122900,91034,8.7,35.0
201910,경상남도,음식,462480,273087,32.8,69.4
201910,경상남도,숙박,170955,114291,12.1,49.6
201910,경상남도,기타관광,105985,75767,7.5,39.9
201910,제주특별자치도,전체,1301123,871708,100.0,49.3
201910,제주특별자치도,자연관광,187450,139763,14.4,34.1
