기준년월,지자체,방문자 구분,방문자수,전년도 방문자수,전년 대비 방문자수 증감률
201909,경기도,현지인방문자(a),1.46517878E8,1.58680694E8,-7.7
201909,경기도,외지인방문자(b),6.0490283E7,5.5791834E7,8.4
201909,경기도,외국인방문자(c),833587.0,643745.0,29.5
201909,경기도,외부방문자(b+c),6.132387E7,5.6435579E7,8.7
201909,경기도,전체방문자(a+b+c),2.07841748E8,2.15116272E8,-3.4
201909,강원도,현지인방문자(a),2.3046188E7,2.4898902E7,-7.4
201909,강원도,외지인방문자(b),1.233989E7,1.2484538E7,-1.2
201909,강원도,외국인방문자(c),121533.0,105889.0,14.8
201909,강원도,외부방문자(b+c),1.2461423E7,1.2590428E7,-1.0
201909,강원도,전체방문자(a+b+c),3.5507611E7,3.748933E7,-5.3
201909,충청북도,현지인방문자(a),2.1483298E7,2.1160332E7,1.5
201909,충청북도,외지인방문자(b),1.0099666E7,1.0499646E7,-3.8
201909,충청북도,외국인방문자(c),89997.0,69832.0,28.9
201909,충청북도,외부방문자(b+c),1.0189663E7,1.0569479E7,-3.6
201909,충청북도,전체방문자(a+b+c),3.1672961E7,3.172981E7,-0.2
201909,충청남도,현지인방문자(a),2.7641954E7,2.7053194E7,2.2
201909,충청남도,외지인방문자(b),1.487578E7,1.566944E7,-5.1
201909,충청남도,외국인방문자(c),168374.0,131066.0,28.5
201909,충청남도,외부방문자(b+c),1.5044155E7,1.5800506E7,-4.8
201909,충청남도,전체방문자(a+b+c),4.2686108E7,4.28537E7,-0.4
201909,전라북도,현지인방문자(a),2.566599E7,2.63198E7,-2.5
201909,전라북도,외지인방문자(b),9227046.0,9659356.0,-4.5
201909,전라북도,외국인방문자(c),86602.0,82056.0,5.5
201909,전라북도,외부방문자(b+c),9313648.0,9741412.0,-4.4
201909,전라북도,전체방문자(a+b+c),3.4979638E7,3.6061212E7,-3.0
201909,전라남도,현지인방문자(a),2.3276932E7,2.389947E7,-2.6
201909,전라남도,외지인방문자(b),1.1069306E7,1.1921497E7,-7.1
201909,전라남도,외국인방문자(c),192584.0,177048.0,8.8
201909,전라남도,외부방문자(b+c),1.1261891E7,1.2098545E7,-6.9
201909,전라남도,전체방문자(a+b+c),3.4538823E7,3.5998015E7,-4.1
201909,경상북도,현지인방문자(a),3.83829E7,3.7651845E7,1.9
201909,경상북도,외지인방문자(b),1.6953993E7,1.7805266E7,-4.8
201909,경상북도,외국인방문자(c),161730.0,127900.0,26.5
201909,경상북도,외부방문자(b+c),1.7115723E7,1.7933167E7,-4.6
201909,경상북도,전체방문자(a+b+c),5.5498623E7,5.5585012E7,-0.2
201909,경상남도,현지인방문자(a),4.2737765E7,4.2968534E7,-0.5
201909,경상남도,외지인방문자(b),1.339534E7,1.419306E7,-5.6
201909,경상남도,외국인방문자(c),190332.0,175504.0,8.4
201909,경상남도,외부방문자(b+c),1.3585672E7,1.4368564E7,-5.4
