,기준년월,광역지자체,방문자 구분,방문자 수,전년도 방문자 수
9,202102,부산광역시,전체방문자(a+b+c),45714343.0,47136328.0
10,202103,부산광역시,현지인방문자(a),41547457.0,37321949.0
11,202103,부산광역시,외지인방문자(b),11716691.0,8356096.0
12,202103,부산광역시,외국인방문자(c),43664.0,29156.0
13,202103,부산광역시,외부방문자(b+c),11760355.0,8385252.0
14,202103,부산광역시,전체방문자(a+b+c),53307812.0,45707201.0
15,202104,부산광역시,현지인방문자(a),38944185.0,37891872.0
16,202104,부산광역시,외지인방문자(b),9099500.0,9035890.0
17,202104,부산광역시,외국인방문자(c),51151.0,33601.0
18,202104,부산광역시,외부방문자(b+c),9150650.0,9069492.0
19,202104,부산광역시,전체방문자(a+b+c),48094835.0,46961363.0
20,202105,부산광역시,현지인방문자(a),42668028.0,40179615.0
21,202105,부산광역시,외지인방문자(b),10615448.0,11105784.0
22,202105,부산광역시,외국인방문자(c),52280.0,35791.0
23,202105,부산광역시,외부방문자(b+c),10667727.0,11141575.0
24,202105,부산광역시,전체방문자(a+b+c),53335755.0,51321190.0
25,202106,부산광역시,현지인방문자(a),42204144.0,40852665.0
26,202106,부산광역시,외지인방문자(b),9893394.0,10103576.0
27,202106,부산광역시,외국인방문자(c),55394.0,36160.0
28,202106,부산광역시,외부방문자(b+c),9948788.0,10139736.0
29,202106,부산광역시,전체방문자(a+b+c),52152933.0,50992401.0
30,202107,부산광역시,현지인방문자(a),42190264.0,42045325.0
31,202107,부산광역시,외지인방문자(b),10355972.0,10989724.0
32,202107,부산광역시,외국인방문자(c),59897.0,46597.0
33,202107,부산광역시,외부방문자(b+c),10415868.0,11036320.0
34,202107,부산광역시,전체방문자(a+b+c),52606132.0,53081645.0
35,202108,부산광역시,현지인방문자(a),40714107.0,40737742.0
36,202108,부산광역시,외지인방문자(b),9714856.0,11664622.0
37,202108,부산광역시,외국인방문자(c),59969.0,40085.0
38,202108,부산광역시,외부방문자(b+c),9774824.0,11704707.0
39,202108,부산광역시,전체방문자(a+b+c),50488931.0,52442449.0
40,202109,부산광역시,현지인방문자(a),40901990.0,40887662.0
41,202109,부산광역시,외지인방문자(b),11099624.0,9856056.0
42,202109,부산광역시,외국인방문자(c),60584.0,39339.0
43,202109,부산광역시,외부방문자(b+c),11160208.0,9895395.0
44,202109,부산광역시,전체방문자(a+b+c),52062198.0,50783057.0
45,202110,부산광역시,현지인방문자(a),42628128.0,40334553.0
46,202110,부산광역시,외지인방문자(b),10952280.0,11229418.0
47,202110,부산광역시,외국인방문자(c),80687.0,42321.0
48,202110,부산광역시,외부방문자(b+c),11032968.0,11271738.0
49,202110,부산광역시,전체방문자(a+b+c),53661095.0,51606291.0
50,202111,부산광역시,현지인방문자(a),41606330.0,41527370.0
51,202111,부산광역시,외지인방문자(b),10487578.0,10412234.0
52,202111,부산광역시,외국인방문자(c),112440.0,38287.0
53,202111,부산광역시,외부방문자(b+c),10600018.0,10450521.0
54,202111,부산광역시,전체방문자(a+b+c),52206349.0,51977891.0
55,202112,부산광역시,현지인방문자(a),42342310.0,38998407.0
56,202112,부산광역시,외지인방문자(b),10860272.0,8980440.0
57,202112,부산광역시,외국인방문자(c),74776.0,45131.0
58,202112,부산광역시,외부방문자(b+c),10935049.0,9025571.0
59,202112,부산광역시,전체방문자(a+b+c),53277359.0,48023978.0
0,202001,부산광역시,현지인방문자(a),40188092.0,38855148.0
1,202001,부산광역시,외지인방문자(b),13512740.0,11674128.0
2,202001,부산광역시,외국인방문자(c),147340.0,294616.0
3,202001,부산광역시,외부방문자(b+c),13660081.0,11968743.0
4,202001,부산광역시,전체방문자(a+b+c),53848173.0,50823892.0
5,202002,부산광역시,현지인방문자(a),37560758.0,34681612.0
6,202002,부산광역시,외지인방문자(b),9479306.0,12876465.0
7,202002,부산광역시,외국인방문자(c),96265.0,312050.0
8,202002,부산광역시,외부방문자(b+c),9575570.0,13188515.0
9,202002,부산광역시,전체방문자(a+b+c),47136328.0,47870127.0
10,202003,부산광역시,현지인방문자(a),37321949.0,39710478.0
11,202003,부산광역시,외지인방문자(b),8356096.0,14100188.0
12,202003,부산광역시,외국인방문자(c),29156.0,400192.0
13,202003,부산광역시,외부방문자(b+c),8385252.0,14500379.0
14,202003,부산광역시,전체방문자(a+b+c),45707201.0,54210858.0
15,202004,부산광역시,현지인방문자(a),37891872.0,36381838.0
16,202004,부산광역시,외지인방문자(b),9035890.0,10284054.0
17,202004,부산광역시,외국인방문자(c),33601.0,504583.0
18,202004,부산광역시,외부방문자(b+c),9069492.0,10788637.0
19,202004,부산광역시,전체방문자(a+b+c),46961363.0,47170475.0
20,202005,부산광역시,현지인방문자(a),40179615.0,39926246.0
21,202005,부산광역시,외지인방문자(b),11105784.0,12990982.0
22,202005,부산광역시,외국인방문자(c),35791.0,467262.0
23,202005,부산광역시,외부방문자(b+c),11141575.0,13458243.0
24,202005,부산광역시,전체방문자(a+b+c),51321190.0,53384490.0
25,202006,부산광역시,현지인방문자(a),40852665.0,38926016.0
26,202006,부산광역시,외지인방문자(b),10103576.0,11056896.0
27,202006,부산광역시,외국인방문자(c),36160.0,439977.0
28,202006,부산광역시,외부방문자(b+c),10139736.0,11496873.0
29,202006,부산광역시,전체방문자(a+b+c),50992401.0,50422889.0
30,202007,부산광역시,현지인방문자(a),42045325.0,40926890.0
31,202007,부산광역시,외지인방문자(b),10989724.0,13210617.0
32,202007,부산광역시,외국인방문자(c),46597.0,436473.0
33,202007,부산광역시,외부방문자(b+c),11036320.0,13647090.0
34,202007,부산광역시,전체방문자(a+b+c),53081645.0,54573979.0
35,202008,부산광역시,현지인방문자(a),40737742.0,38924067.0
36,202008,부산광역시,외지인방문자(b),11664622.0,13473968.0
37,202008,부산광역시,외국인방문자(c),40085.0,470346.0
38,202008,부산광역시,외부방문자(b+c),11704707.0,13944314.0
39,202008,부산광역시,전체방문자(a+b+c),52442449.0,52868381.0
40,202009,부산광역시,현지인방문자(a),40887662.0,39343630.0
41,202009,부산광역시,외지인방문자(b),9856056.0,13364900.0
42,202009,부산광역시,외국인방문자(c),39339.0,468581.0
43,202009,부산광역시,외부방문자(b+c),9895395.0,13833482.0
44,202009,부산광역시,전체방문자(a+b+c),50783057.0,53177111.0
45,202010,부산광역시,현지인방문자(a),40334553.0,41201734.0
46,202010,부산광역시,외지인방문자(b),11229418.0,11671233.0
47,202010,부산광역시,외국인방문자(c),42321.0,547140.0
48,202010,부산광역시,외부방문자(b+c),11271738.0,12218373.0
49,202010,부산광역시,전체방문자(a+b+c),51606291.0,53420107.0
50,202011,부산광역시,현지인방문자(a),41527370.0,40658916.0
51,202011,부산광역시,외지인방문자(b),10412234.0,11774396.0
52,202011,부산광역시,외국인방문자(c),38287.0,460266.0
53,202011,부산광역시,외부방문자(b+c),10450521.0,12234661.0
54,202011,부산광역시,전체방문자(a+b+c),51977891.0,52893577.0
55,202012,부산광역시,현지인방문자(a),38998407.0,42756136.0
56,202012,부산광역시,외지인방문자(b),8980440.0,13194310.0
